ID,Time Stamp,DG_On_Load,DG_ON,DGFuelLow,Door_Open,SiteOnBat,Mains_Fail,Fire_Smoke,DGBatt_Low,Room_Temp,Rack_Temp,Batt_Volt,L1_Voltage,L2_Voltage,L3_Voltage,RectFail,Rec_LowV,DG_AC
115,4/1/2018 12:21,No,No,NOT-PROV,Yes,No,No,No,No,27.54,27.06,56.16,233.91,0,0,No,NOT-PROV,0
116,4/1/2018 12:19,No,No,NOT-PROV,Yes,No,No,No,No,27.9,27.54,56.16,234.39,0,0,No,NOT-PROV,0
117,4/1/2018 12:17,No,No,NOT-PROV,Yes,No,No,No,No,27.9,27.54,56.16,235.18,0,0,No,NOT-PROV,0
118,4/1/2018 12:15,No,No,NOT-PROV,Yes,No,No,No,No,28.27,27.78,55.93,235.08,0,0,No,NOT-PROV,0
119,4/1/2018 12:14,No,No,NOT-PROV,Yes,No,No,No,No,26.81,26.69,56.16,234.59,0,0,No,NOT-PROV,0
120,4/1/2018 12:12,No,No,NOT-PROV,Yes,No,No,No,No,26.57,26.33,56.22,233.51,0,0,No,NOT-PROV,0
121,4/1/2018 12:10,No,No,NOT-PROV,Yes,No,No,No,No,26.94,26.21,56.05,234.59,0,0,No,NOT-PROV,0
122,4/1/2018 12:08,No,No,NOT-PROV,Yes,No,No,No,No,27.54,27.18,55.99,236.06,0,0,No,NOT-PROV,0
123,4/1/2018 12:06,No,No,NOT-PROV,Yes,No,No,No,No,28.75,28.39,56.05,238.89,0,0,No,NOT-PROV,0
124,4/1/2018 12:04,No,No,NOT-PROV,Yes,No,No,No,No,28.51,28.15,56.05,237.33,0,0,No,NOT-PROV,0
125,4/1/2018 12:02,No,No,NOT-PROV,Yes,No,No,No,No,26.81,26.94,55.99,239.28,0,0,No,NOT-PROV,0
126,4/1/2018 12:00,No,No,NOT-PROV,Yes,No,No,No,No,27.06,26.45,55.99,238.6,0,0,No,NOT-PROV,0
127,4/1/2018 11:59,No,No,NOT-PROV,Yes,No,No,No,No,27.18,26.57,55.99,237.62,0,0,No,NOT-PROV,0
128,4/1/2018 11:54,No,No,NOT-PROV,Yes,No,No,No,No,27.18,27.06,55.99,232.63,0,0,No,NOT-PROV,0
129,4/1/2018 11:52,No,No,NOT-PROV,Yes,No,No,No,No,28.15,27.42,55.99,232.05,0,0,No,NOT-PROV,0
